PSI 3hr,Datetime stamp
31, 6am 14 Jan 2014
30, 7am 14 Jan 2014
30, 8am 14 Jan 2014
32, 9am 14 Jan 2014
33, 10am 14 Jan 2014
36, 11am 14 Jan 2014
36, 12pm 14 Jan 2014
35, 1pm 14 Jan 2014
32, 2pm 14 Jan 2014
30, 3pm 14 Jan 2014
29, 4pm 14 Jan 2014
29, 5pm 14 Jan 2014
29, 6pm 14 Jan 2014
33, 8pm 14 Jan 2014
33, 9pm 14 Jan 2014
33, 10pm 14 Jan 2014
32, 11pm 14 Jan 2014
31, 6am 15 Jan 2014
33, 8am 15 Jan 2014
37, 10am 15 Jan 2014
41, 11am 15 Jan 2014
41, 12pm 15 Jan 2014
41, 1pm 15 Jan 2014
37, 2pm 15 Jan 2014
35, 3pm 15 Jan 2014
36, 4pm 15 Jan 2014
38, 6pm 15 Jan 2014
39, 7pm 15 Jan 2014
40, 9pm 15 Jan 2014
38, 11pm 15 Jan 2014
36, 3am 16 Jan 2014
39, 6am 16 Jan 2014
37, 7am 16 Jan 2014
37, 8am 16 Jan 2014
36, 9am 16 Jan 2014
37, 10am 16 Jan 2014
38, 11am 16 Jan 2014
40, 1pm 16 Jan 2014
40, 2pm 16 Jan 2014
40, 3pm 16 Jan 2014
40, 4pm 16 Jan 2014
40, 6pm 16 Jan 2014
38, 7pm 16 Jan 2014
37, 8pm 16 Jan 2014
34, 9pm 16 Jan 2014
34, 10pm 16 Jan 2014
33, 11pm 16 Jan 2014
32, 6am 17 Jan 2014
33, 8am 17 Jan 2014
33, 9am 17 Jan 2014
33, 10am 17 Jan 2014
32, 11am 17 Jan 2014
31, 12pm 17 Jan 2014
32, 1pm 17 Jan 2014
32, 3pm 17 Jan 2014
30, 4pm 17 Jan 2014
30, 5pm 17 Jan 2014
29, 6pm 17 Jan 2014
30, 7pm 17 Jan 2014
32, 8pm 17 Jan 2014
31, 10pm 17 Jan 2014
31, 10pm 17 Jan 2014
29, 11pm 17 Jan 2014
22, 5am 18 Jan 2014
24, 7am 18 Jan 2014
24, 8am 18 Jan 2014
26, 9am 18 Jan 2014
29, 10am 18 Jan 2014
31, 11am 18 Jan 2014
31, 12pm 18 Jan 2014
31, 1pm 18 Jan 2014
30, 3pm 18 Jan 2014
31, 4pm 18 Jan 2014
32, 6pm 18 Jan 2014
30, 8pm 18 Jan 2014
29, 9pm 18 Jan 2014
29, 10pm 18 Jan 2014
30, 11pm 18 Jan 2014
26, 6am 19 Jan 2014
26, 8am 19 Jan 2014
26, 9am 19 Jan 2014
30, 11am 19 Jan 2014
31, 12pm 19 Jan 2014
30, 2pm 19 Jan 2014
33, 4pm 19 Jan 2014
32, 5pm 19 Jan 2014
31, 6pm 19 Jan 2014
30, 7pm 19 Jan 2014
30, 9pm 19 Jan 2014
28, 11pm 19 Jan 2014
29, 7am 20 Jan 2014
29, 8am 20 Jan 2014
31, 10am 20 Jan 2014
32, 11am 20 Jan 2014
32, 12pm 20 Jan 2014
30, 2pm 20 Jan 2014
30, 3pm 20 Jan 2014
30, 4pm 20 Jan 2014
30, 5pm 20 Jan 2014
30, 6pm 20 Jan 2014
32, 8pm 20 Jan 2014
32, 9pm 20 Jan 2014
30, 10pm 20 Jan 2014
30, 11pm 20 Jan 2014
28, 6am 21 Jan 2014
23, 7am 21 Jan 2014
24, 8am 21 Jan 2014
30, 10am 21 Jan 2014
34, 11am 21 Jan 2014
37, 12pm 21 Jan 2014
39, 2pm 21 Jan 2014
39, 3pm 21 Jan 2014
39, 5pm 21 Jan 2014
40, 6pm 21 Jan 2014
39, 7pm 21 Jan 2014
39, 8pm 21 Jan 2014
38, 9pm 21 Jan 2014
38, 11pm 21 Jan 2014
32, 6am 22 Jan 2014
31, 7am 22 Jan 2014
32, 8am 22 Jan 2014
32, 9am 22 Jan 2014
32, 10am 22 Jan 2014
31, 11am 22 Jan 2014
31, 12pm 22 Jan 2014
32, 1pm 22 Jan 2014
32, 3pm 22 Jan 2014
31, 4pm 22 Jan 2014
31, 5pm 22 Jan 2014
31, 6pm 22 Jan 2014
30, 7pm 22 Jan 2014
30, 8pm 22 Jan 2014
30, 9pm 22 Jan 2014
31, 10pm 22 Jan 2014
30, 11pm 22 Jan 2014
45, 6am 23 Jan 2014
43, 7am 23 Jan 2014
43, 8am 23 Jan 2014
43, 9am 23 Jan 2014
51, 11am 23 Jan 2014
52, 12pm 23 Jan 2014
50, 1pm 23 Jan 2014
48, 2pm 23 Jan 2014
47, 3pm 23 Jan 2014
47, 4pm 23 Jan 2014
48, 5pm 23 Jan 2014
50, 6pm 23 Jan 2014
49, 7pm 23 Jan 2014
47, 8pm 23 Jan 2014
44, 9pm 23 Jan 2014
41, 10pm 23 Jan 2014
40, 11pm 23 Jan 2014
43, 7am 24 Jan 2014
46, 9am 24 Jan 2014
48, 10am 24 Jan 2014
49, 11am 24 Jan 2014
50, 12pm 24 Jan 2014
49, 1pm 24 Jan 2014
48, 2pm 24 Jan 2014
48, 3pm 24 Jan 2014
49, 5pm 24 Jan 2014
47, 6pm 24 Jan 2014
45, 7pm 24 Jan 2014
46, 8pm 24 Jan 2014
48, 9pm 24 Jan 2014
49, 10pm 24 Jan 2014
49, 11pm 24 Jan 2014
48, 12am 25 Jan 2014
38, 6am 25 Jan 2014
35, 8am 25 Jan 2014
36, 9am 25 Jan 2014
39, 10am 25 Jan 2014
40, 11am 25 Jan 2014
39, 12pm 25 Jan 2014
41, 2pm 25 Jan 2014
44, 3pm 25 Jan 2014
46, 4pm 25 Jan 2014
48, 5pm 25 Jan 2014
49, 6pm 25 Jan 2014
48, 7pm 25 Jan 2014
49, 8pm 25 Jan 2014
46, 9pm 25 Jan 2014
44, 10pm 25 Jan 2014
41, 11pm 25 Jan 2014
38, 6am 26 Jan 2014
36, 8am 26 Jan 2014
35, 9am 26 Jan 2014
36, 11am 26 Jan 2014
35, 12pm 26 Jan 2014
36, 1pm 26 Jan 2014
41, 3pm 26 Jan 2014
45, 5pm 26 Jan 2014
44, 7pm 26 Jan 2014
43, 8pm 26 Jan 2014
40, 9pm 26 Jan 2014
36, 11pm 26 Jan 2014
36, 11pm 26 Jan 2014
28, 6am 27 Jan 2014
28, 8am 27 Jan 2014
