PSI 3hr,Datetime,DayOfWeek,Period,DayOfMonth,Month
23,  7pm 31 Jan 2014,Thurs,evening,31,Jan
24,  8pm 31 Jan 2014,Thurs,evening,31,Jan
25,  10pm 31 Jan 2014,Thurs,evening,31,Jan
26,  11pm 31 Jan 2014,Thurs,evening,31,Jan
26,  5am 01 Feb 2014,Fri,night,1,Feb
25,  7am 01 Feb 2014,Fri,morning,1,Feb
25,  8am 01 Feb 2014,Fri,morning,1,Feb
24,  10am 01 Feb 2014,Fri,morning,1,Feb
23,  11am 01 Feb 2014,Fri,morning,1,Feb
25,  12pm 01 Feb 2014,Fri,afternoon,1,Feb
25,  1pm 01 Feb 2014,Fri,afternoon,1,Feb
22,  3pm 01 Feb 2014,Fri,afternoon,1,Feb
19,  4pm 01 Feb 2014,Fri,afternoon,1,Feb
22,  6pm 01 Feb 2014,Fri,afternoon,1,Feb
27,  8pm 01 Feb 2014,Fri,evening,1,Feb
23,  10pm 01 Feb 2014,Fri,evening,1,Feb
22,  11pm 01 Feb 2014,Fri,evening,1,Feb
22,  5am 02 Feb 2014,Sat,night,2,Feb
23,  7am 02 Feb 2014,Sat,morning,2,Feb
21,  9am 02 Feb 2014,Sat,morning,2,Feb
20,  10am 02 Feb 2014,Sat,morning,2,Feb
20,  12pm 02 Feb 2014,Sat,afternoon,2,Feb
22,  2pm 02 Feb 2014,Sat,afternoon,2,Feb
24,  3pm 02 Feb 2014,Sat,afternoon,2,Feb
26,  4pm 02 Feb 2014,Sat,afternoon,2,Feb
28,  5pm 02 Feb 2014,Sat,afternoon,2,Feb
27,  6pm 02 Feb 2014,Sat,afternoon,2,Feb
27,  7pm 02 Feb 2014,Sat,evening,2,Feb
25,  8pm 02 Feb 2014,Sat,evening,2,Feb
24,  10pm 02 Feb 2014,Sat,evening,2,Feb
24,  11pm 02 Feb 2014,Sat,evening,2,Feb
18,  6am 03 Feb 2014,Sun,morning,3,Feb
18,  7am 03 Feb 2014,Sun,morning,3,Feb
17,  8am 03 Feb 2014,Sun,morning,3,Feb
18,  9am 03 Feb 2014,Sun,morning,3,Feb
18,  10am 03 Feb 2014,Sun,morning,3,Feb
18,  11am 03 Feb 2014,Sun,morning,3,Feb
19,  12pm 03 Feb 2014,Sun,afternoon,3,Feb
21,  1pm 03 Feb 2014,Sun,afternoon,3,Feb
23,  3pm 03 Feb 2014,Sun,afternoon,3,Feb
23,  3pm 03 Feb 2014,Sun,afternoon,3,Feb
24,  4pm 03 Feb 2014,Sun,afternoon,3,Feb
23,  5pm 03 Feb 2014,Sun,afternoon,3,Feb
24,  6pm 03 Feb 2014,Sun,afternoon,3,Feb
25,  7pm 03 Feb 2014,Sun,evening,3,Feb
25,  9pm 03 Feb 2014,Sun,evening,3,Feb
23,  10pm 03 Feb 2014,Sun,evening,3,Feb
22,  11pm 03 Feb 2014,Sun,evening,3,Feb
26,  6am 04 Feb 2014,Mon,morning,4,Feb
26,  8am 04 Feb 2014,Mon,morning,4,Feb
26,  10am 04 Feb 2014,Mon,morning,4,Feb
28,  11am 04 Feb 2014,Mon,morning,4,Feb
32,  12pm 04 Feb 2014,Mon,afternoon,4,Feb
35,  1pm 04 Feb 2014,Mon,afternoon,4,Feb
37,  2pm 04 Feb 2014,Mon,afternoon,4,Feb
38,  3pm 04 Feb 2014,Mon,afternoon,4,Feb
39,  4pm 04 Feb 2014,Mon,afternoon,4,Feb
41,  5pm 04 Feb 2014,Mon,afternoon,4,Feb
41,  7pm 04 Feb 2014,Mon,evening,4,Feb
31,  9pm 04 Feb 2014,Mon,evening,4,Feb
28,  10pm 04 Feb 2014,Mon,evening,4,Feb
26,  11pm 04 Feb 2014,Mon,evening,4,Feb
36,  6am 05 Feb 2014,Tues,morning,5,Feb
38,  7am 05 Feb 2014,Tues,morning,5,Feb
38,  8am 05 Feb 2014,Tues,morning,5,Feb
36,  9am 05 Feb 2014,Tues,morning,5,Feb
34,  10am 05 Feb 2014,Tues,morning,5,Feb
32,  11am 05 Feb 2014,Tues,morning,5,Feb
32,  12pm 05 Feb 2014,Tues,afternoon,5,Feb
32,  1pm 05 Feb 2014,Tues,afternoon,5,Feb
32,  2pm 05 Feb 2014,Tues,afternoon,5,Feb
33,  3pm 05 Feb 2014,Tues,afternoon,5,Feb
32,  4pm 05 Feb 2014,Tues,afternoon,5,Feb
32,  5pm 05 Feb 2014,Tues,afternoon,5,Feb
32,  7pm 05 Feb 2014,Tues,evening,5,Feb
31,  8pm 05 Feb 2014,Tues,evening,5,Feb
30,  9pm 05 Feb 2014,Tues,evening,5,Feb
29,  10pm 05 Feb 2014,Tues,evening,5,Feb
27,  11pm 05 Feb 2014,Tues,evening,5,Feb
20,  4am 06 Feb 2014,Wed,night,6,Feb
19,  6am 06 Feb 2014,Wed,morning,6,Feb
21,  7am 06 Feb 2014,Wed,morning,6,Feb
22,  8am 06 Feb 2014,Wed,morning,6,Feb
23,  9am 06 Feb 2014,Wed,morning,6,Feb
23,  10am 06 Feb 2014,Wed,morning,6,Feb
24,  11am 06 Feb 2014,Wed,morning,6,Feb
26,  12pm 06 Feb 2014,Wed,afternoon,6,Feb
27,  1pm 06 Feb 2014,Wed,afternoon,6,Feb
26,  2pm 06 Feb 2014,Wed,afternoon,6,Feb
26,  3pm 06 Feb 2014,Wed,afternoon,6,Feb
28,  4pm 06 Feb 2014,Wed,afternoon,6,Feb
31,  5pm 06 Feb 2014,Wed,afternoon,6,Feb
34,  6pm 06 Feb 2014,Wed,afternoon,6,Feb
33,  7pm 06 Feb 2014,Wed,evening,6,Feb
31,  8pm 06 Feb 2014,Wed,evening,6,Feb
27,  9pm 06 Feb 2014,Wed,evening,6,Feb
23,  10pm 06 Feb 2014,Wed,evening,6,Feb
22,  11pm 06 Feb 2014,Wed,evening,6,Feb
18,  6am 07 Feb 2014,Thurs,morning,7,Feb
19,  7am 07 Feb 2014,Thurs,morning,7,Feb
19,  7am 07 Feb 2014,Thurs,morning,7,Feb
20,  9am 07 Feb 2014,Thurs,morning,7,Feb
26,  11am 07 Feb 2014,Thurs,morning,7,Feb
31,  1pm 07 Feb 2014,Thurs,afternoon,7,Feb
30,  2pm 07 Feb 2014,Thurs,afternoon,7,Feb
31,  3pm 07 Feb 2014,Thurs,afternoon,7,Feb
34,  4pm 07 Feb 2014,Thurs,afternoon,7,Feb
37,  5pm 07 Feb 2014,Thurs,afternoon,7,Feb
34,  6pm 07 Feb 2014,Thurs,afternoon,7,Feb
31,  8pm 07 Feb 2014,Thurs,evening,7,Feb
30,  9pm 07 Feb 2014,Thurs,evening,7,Feb
28,  10pm 07 Feb 2014,Thurs,evening,7,Feb
27,  11pm 07 Feb 2014,Thurs,evening,7,Feb
36,  6am 08 Feb 2014,Fri,morning,8,Feb
34,  7am 08 Feb 2014,Fri,morning,8,Feb
35,  8am 08 Feb 2014,Fri,morning,8,Feb
41,  10am 08 Feb 2014,Fri,morning,8,Feb
38,  12pm 08 Feb 2014,Fri,afternoon,8,Feb
38,  1pm 08 Feb 2014,Fri,afternoon,8,Feb
40,  2pm 08 Feb 2014,Fri,afternoon,8,Feb
43,  3pm 08 Feb 2014,Fri,afternoon,8,Feb
49,  4pm 08 Feb 2014,Fri,afternoon,8,Feb
54,  6pm 08 Feb 2014,Fri,afternoon,8,Feb
52,  7pm 08 Feb 2014,Fri,evening,8,Feb
49,  8pm 08 Feb 2014,Fri,evening,8,Feb
40,  10pm 08 Feb 2014,Fri,evening,8,Feb
34,  11pm 08 Feb 2014,Fri,evening,8,Feb
23,  6am 09 Feb 2014,Sat,morning,9,Feb
22,  7am 09 Feb 2014,Sat,morning,9,Feb
23,  8am 09 Feb 2014,Sat,morning,9,Feb
24,  9am 09 Feb 2014,Sat,morning,9,Feb
27,  11am 09 Feb 2014,Sat,morning,9,Feb
28,  1pm 09 Feb 2014,Sat,afternoon,9,Feb
32,  2pm 09 Feb 2014,Sat,afternoon,9,Feb
34,  3pm 09 Feb 2014,Sat,afternoon,9,Feb
35,  4pm 09 Feb 2014,Sat,afternoon,9,Feb
33,  5pm 09 Feb 2014,Sat,afternoon,9,Feb
32,  6pm 09 Feb 2014,Sat,afternoon,9,Feb
33,  7pm 09 Feb 2014,Sat,evening,9,Feb
39,  8pm 09 Feb 2014,Sat,evening,9,Feb
44,  9pm 09 Feb 2014,Sat,evening,9,Feb
44,  10pm 09 Feb 2014,Sat,evening,9,Feb
43,  11pm 09 Feb 2014,Sat,evening,9,Feb
25,  6am 10 Feb 2014,Sun,morning,10,Feb
25,  8am 10 Feb 2014,Sun,morning,10,Feb
26,  10am 10 Feb 2014,Sun,morning,10,Feb
28,  12pm 10 Feb 2014,Sun,afternoon,10,Feb
29,  1pm 10 Feb 2014,Sun,afternoon,10,Feb
30,  2pm 10 Feb 2014,Sun,afternoon,10,Feb
31,  3pm 10 Feb 2014,Sun,afternoon,10,Feb
32,  4pm 10 Feb 2014,Sun,afternoon,10,Feb
32,  5pm 10 Feb 2014,Sun,afternoon,10,Feb
32,  6pm 10 Feb 2014,Sun,afternoon,10,Feb
38,  7pm 10 Feb 2014,Sun,evening,10,Feb
47,  8pm 10 Feb 2014,Sun,evening,10,Feb
47,  9pm 10 Feb 2014,Sun,evening,10,Feb
30,  11pm 10 Feb 2014,Sun,evening,10,Feb
20,  7am 11 Feb 2014,Mon,morning,11,Feb
22,  9am 11 Feb 2014,Mon,morning,11,Feb
24,  10am 11 Feb 2014,Mon,morning,11,Feb
28,  11am 11 Feb 2014,Mon,morning,11,Feb
32,  1pm 11 Feb 2014,Mon,afternoon,11,Feb
31,  3pm 11 Feb 2014,Mon,afternoon,11,Feb
34,  4pm 11 Feb 2014,Mon,afternoon,11,Feb
40,  5pm 11 Feb 2014,Mon,afternoon,11,Feb
43,  6pm 11 Feb 2014,Mon,afternoon,11,Feb
44,  7pm 11 Feb 2014,Mon,evening,11,Feb
41,  8pm 11 Feb 2014,Mon,evening,11,Feb
38,  9pm 11 Feb 2014,Mon,evening,11,Feb
34,  10pm 11 Feb 2014,Mon,evening,11,Feb
31,  11pm 11 Feb 2014,Mon,evening,11,Feb
20,  6am 12 Feb 2014,Tues,morning,12,Feb
19,  7am 12 Feb 2014,Tues,morning,12,Feb
20,  8am 12 Feb 2014,Tues,morning,12,Feb
23,  9am 12 Feb 2014,Tues,morning,12,Feb
24,  10am 12 Feb 2014,Tues,morning,12,Feb
27,  11am 12 Feb 2014,Tues,morning,12,Feb
28,  12pm 12 Feb 2014,Tues,afternoon,12,Feb
30,  1pm 12 Feb 2014,Tues,afternoon,12,Feb
30,  2pm 12 Feb 2014,Tues,afternoon,12,Feb
31,  3pm 12 Feb 2014,Tues,afternoon,12,Feb
33,  4pm 12 Feb 2014,Tues,afternoon,12,Feb
36,  5pm 12 Feb 2014,Tues,afternoon,12,Feb
38,  6pm 12 Feb 2014,Tues,afternoon,12,Feb
41,  7pm 12 Feb 2014,Tues,evening,12,Feb
41,  8pm 12 Feb 2014,Tues,evening,12,Feb
40,  9pm 12 Feb 2014,Tues,evening,12,Feb
39,  10pm 12 Feb 2014,Tues,evening,12,Feb
38,  11pm 12 Feb 2014,Tues,evening,12,Feb
35,  12am 13 Feb 2014,Wed,night,13,Feb
29,  6am 13 Feb 2014,Wed,morning,13,Feb
26,  7am 13 Feb 2014,Wed,morning,13,Feb
27,  8am 13 Feb 2014,Wed,morning,13,Feb
29,  9am 13 Feb 2014,Wed,morning,13,Feb
32,  10am 13 Feb 2014,Wed,morning,13,Feb
37,  12pm 13 Feb 2014,Wed,afternoon,13,Feb
36,  1pm 13 Feb 2014,Wed,afternoon,13,Feb
34,  2pm 13 Feb 2014,Wed,afternoon,13,Feb
36,  4pm 13 Feb 2014,Wed,afternoon,13,Feb
38,  5pm 13 Feb 2014,Wed,afternoon,13,Feb
40,  6pm 13 Feb 2014,Wed,afternoon,13,Feb
38,  8pm 13 Feb 2014,Wed,evening,13,Feb
35,  9pm 13 Feb 2014,Wed,evening,13,Feb
33,  10pm 13 Feb 2014,Wed,evening,13,Feb
32,  11pm 13 Feb 2014,Wed,evening,13,Feb
26,  7am 14 Feb 2014,Thurs,morning,14,Feb
28,  8am 14 Feb 2014,Thurs,morning,14,Feb
31,  9am 14 Feb 2014,Thurs,morning,14,Feb
33,  10am 14 Feb 2014,Thurs,morning,14,Feb
35,  11am 14 Feb 2014,Thurs,morning,14,Feb
36,  12pm 14 Feb 2014,Thurs,afternoon,14,Feb
37,  1pm 14 Feb 2014,Thurs,afternoon,14,Feb
37,  1pm 14 Feb 2014,Thurs,afternoon,14,Feb
33,  3pm 14 Feb 2014,Thurs,afternoon,14,Feb
33,  4pm 14 Feb 2014,Thurs,afternoon,14,Feb
35,  5pm 14 Feb 2014,Thurs,afternoon,14,Feb
35,  6pm 14 Feb 2014,Thurs,afternoon,14,Feb
31,  7pm 14 Feb 2014,Thurs,evening,14,Feb
27,  9pm 14 Feb 2014,Thurs,evening,14,Feb
30,  10pm 14 Feb 2014,Thurs,evening,14,Feb
32,  11pm 14 Feb 2014,Thurs,evening,14,Feb
32,  5am 15 Feb 2014,Fri,night,15,Feb
31,  7am 15 Feb 2014,Fri,morning,15,Feb
32,  8am 15 Feb 2014,Fri,morning,15,Feb
34,  9am 15 Feb 2014,Fri,morning,15,Feb
35,  11am 15 Feb 2014,Fri,morning,15,Feb
34,  12pm 15 Feb 2014,Fri,afternoon,15,Feb
34,  1pm 15 Feb 2014,Fri,afternoon,15,Feb
33,  2pm 15 Feb 2014,Fri,afternoon,15,Feb
35,  3pm 15 Feb 2014,Fri,afternoon,15,Feb
37,  4pm 15 Feb 2014,Fri,afternoon,15,Feb
37,  5pm 15 Feb 2014,Fri,afternoon,15,Feb
37,  6pm 15 Feb 2014,Fri,afternoon,15,Feb
43,  8pm 15 Feb 2014,Fri,evening,15,Feb
43,  9pm 15 Feb 2014,Fri,evening,15,Feb
42,  10pm 15 Feb 2014,Fri,evening,15,Feb
42,  10pm 15 Feb 2014,Fri,evening,15,Feb
41,  11pm 15 Feb 2014,Fri,evening,15,Feb
32,  7am 16 Feb 2014,Sat,morning,16,Feb
33,  8am 16 Feb 2014,Sat,morning,16,Feb
32,  9am 16 Feb 2014,Sat,morning,16,Feb
32,  10am 16 Feb 2014,Sat,morning,16,Feb
31,  11am 16 Feb 2014,Sat,morning,16,Feb
30,  1pm 16 Feb 2014,Sat,afternoon,16,Feb
30,  1pm 16 Feb 2014,Sat,afternoon,16,Feb
29,  2pm 16 Feb 2014,Sat,afternoon,16,Feb
30,  4pm 16 Feb 2014,Sat,afternoon,16,Feb
31,  5pm 16 Feb 2014,Sat,afternoon,16,Feb
32,  6pm 16 Feb 2014,Sat,afternoon,16,Feb
31,  7pm 16 Feb 2014,Sat,evening,16,Feb
28,  8pm 16 Feb 2014,Sat,evening,16,Feb
28,  10pm 16 Feb 2014,Sat,evening,16,Feb
32,  11pm 16 Feb 2014,Sat,evening,16,Feb
34,  6am 17 Feb 2014,Sun,morning,17,Feb
34,  7am 17 Feb 2014,Sun,morning,17,Feb
37,  9am 17 Feb 2014,Sun,morning,17,Feb
38,  10am 17 Feb 2014,Sun,morning,17,Feb
38,  11am 17 Feb 2014,Sun,morning,17,Feb
35,  1pm 17 Feb 2014,Sun,afternoon,17,Feb
33,  2pm 17 Feb 2014,Sun,afternoon,17,Feb
33,  3pm 17 Feb 2014,Sun,afternoon,17,Feb
33,  4pm 17 Feb 2014,Sun,afternoon,17,Feb
34,  5pm 17 Feb 2014,Sun,afternoon,17,Feb
34,  6pm 17 Feb 2014,Sun,afternoon,17,Feb
34,  7pm 17 Feb 2014,Sun,evening,17,Feb
34,  9pm 17 Feb 2014,Sun,evening,17,Feb
35,  10pm 17 Feb 2014,Sun,evening,17,Feb
35,  10pm 17 Feb 2014,Sun,evening,17,Feb
36,  11pm 17 Feb 2014,Sun,evening,17,Feb
34,  7am 18 Feb 2014,Mon,morning,18,Feb
36,  8am 18 Feb 2014,Mon,morning,18,Feb
37,  9am 18 Feb 2014,Mon,morning,18,Feb
34,  11am 18 Feb 2014,Mon,morning,18,Feb
34,  1pm 18 Feb 2014,Mon,afternoon,18,Feb
31,  2pm 18 Feb 2014,Mon,afternoon,18,Feb
32,  3pm 18 Feb 2014,Mon,afternoon,18,Feb
33,  5pm 18 Feb 2014,Mon,afternoon,18,Feb
32,  6pm 18 Feb 2014,Mon,afternoon,18,Feb
33,  7pm 18 Feb 2014,Mon,evening,18,Feb
33,  8pm 18 Feb 2014,Mon,evening,18,Feb
33,  9pm 18 Feb 2014,Mon,evening,18,Feb
31,  11pm 18 Feb 2014,Mon,evening,18,Feb
37,  6am 19 Feb 2014,Tues,morning,19,Feb
39,  7am 19 Feb 2014,Tues,morning,19,Feb
40,  8am 19 Feb 2014,Tues,morning,19,Feb
39,  9am 19 Feb 2014,Tues,morning,19,Feb
33,  11am 19 Feb 2014,Tues,morning,19,Feb
32,  12pm 19 Feb 2014,Tues,afternoon,19,Feb
32,  1pm 19 Feb 2014,Tues,afternoon,19,Feb
31,  3pm 19 Feb 2014,Tues,afternoon,19,Feb
29,  4pm 19 Feb 2014,Tues,afternoon,19,Feb
29,  4pm 19 Feb 2014,Tues,afternoon,19,Feb
32,  6pm 19 Feb 2014,Tues,afternoon,19,Feb
32,  8pm 19 Feb 2014,Tues,evening,19,Feb
30,  9pm 19 Feb 2014,Tues,evening,19,Feb
29,  10pm 19 Feb 2014,Tues,evening,19,Feb
28,  11pm 19 Feb 2014,Tues,evening,19,Feb
26,  1am 20 Feb 2014,Wed,night,20,Feb
21,  7am 20 Feb 2014,Wed,morning,20,Feb
20,  8am 20 Feb 2014,Wed,morning,20,Feb
23,  10am 20 Feb 2014,Wed,morning,20,Feb
27,  11am 20 Feb 2014,Wed,morning,20,Feb
30,  12pm 20 Feb 2014,Wed,afternoon,20,Feb
32,  1pm 20 Feb 2014,Wed,afternoon,20,Feb
32,  3pm 20 Feb 2014,Wed,afternoon,20,Feb
32,  4pm 20 Feb 2014,Wed,afternoon,20,Feb
31,  6pm 20 Feb 2014,Wed,afternoon,20,Feb
29,  8pm 20 Feb 2014,Wed,evening,20,Feb
29,  9pm 20 Feb 2014,Wed,evening,20,Feb
29,  10pm 20 Feb 2014,Wed,evening,20,Feb
29,  11pm 20 Feb 2014,Wed,evening,20,Feb
29,  7am 21 Feb 2014,Thurs,morning,21,Feb
30,  8am 21 Feb 2014,Thurs,morning,21,Feb
32,  10am 21 Feb 2014,Thurs,morning,21,Feb
35,  12pm 21 Feb 2014,Thurs,afternoon,21,Feb
35,  12pm 21 Feb 2014,Thurs,afternoon,21,Feb
32,  2pm 21 Feb 2014,Thurs,afternoon,21,Feb
32,  4pm 21 Feb 2014,Thurs,afternoon,21,Feb
33,  5pm 21 Feb 2014,Thurs,afternoon,21,Feb
33,  5pm 21 Feb 2014,Thurs,afternoon,21,Feb
32,  7pm 21 Feb 2014,Thurs,evening,21,Feb
33,  8pm 21 Feb 2014,Thurs,evening,21,Feb
32,  10pm 21 Feb 2014,Thurs,evening,21,Feb
32,  11pm 21 Feb 2014,Thurs,evening,21,Feb
27,  6am 22 Feb 2014,Fri,morning,22,Feb
28,  8am 22 Feb 2014,Fri,morning,22,Feb
29,  10am 22 Feb 2014,Fri,morning,22,Feb
32,  12pm 22 Feb 2014,Fri,afternoon,22,Feb
31,  1pm 22 Feb 2014,Fri,afternoon,22,Feb
33,  2pm 22 Feb 2014,Fri,afternoon,22,Feb
33,  3pm 22 Feb 2014,Fri,afternoon,22,Feb
34,  4pm 22 Feb 2014,Fri,afternoon,22,Feb
36,  5pm 22 Feb 2014,Fri,afternoon,22,Feb
37,  6pm 22 Feb 2014,Fri,afternoon,22,Feb
40,  7pm 22 Feb 2014,Fri,evening,22,Feb
41,  8pm 22 Feb 2014,Fri,evening,22,Feb
42,  9pm 22 Feb 2014,Fri,evening,22,Feb
41,  10pm 22 Feb 2014,Fri,evening,22,Feb
39,  11pm 22 Feb 2014,Fri,evening,22,Feb
37,  12am 23 Feb 2014,Sat,night,23,Feb
30,  7am 23 Feb 2014,Sat,morning,23,Feb
31,  9am 23 Feb 2014,Sat,morning,23,Feb
31,  10am 23 Feb 2014,Sat,morning,23,Feb
31,  11am 23 Feb 2014,Sat,morning,23,Feb
31,  12pm 23 Feb 2014,Sat,afternoon,23,Feb
31,  1pm 23 Feb 2014,Sat,afternoon,23,Feb
29,  2pm 23 Feb 2014,Sat,afternoon,23,Feb
29,  4pm 23 Feb 2014,Sat,afternoon,23,Feb
30,  5pm 23 Feb 2014,Sat,afternoon,23,Feb
32,  6pm 23 Feb 2014,Sat,afternoon,23,Feb
35,  7pm 23 Feb 2014,Sat,evening,23,Feb
37,  8pm 23 Feb 2014,Sat,evening,23,Feb
36,  10pm 23 Feb 2014,Sat,evening,23,Feb
36,  11pm 23 Feb 2014,Sat,evening,23,Feb
33,  7am 24 Feb 2014,Sun,morning,24,Feb
34,  8am 24 Feb 2014,Sun,morning,24,Feb
36,  9am 24 Feb 2014,Sun,morning,24,Feb
35,  11am 24 Feb 2014,Sun,morning,24,Feb
34,  12pm 24 Feb 2014,Sun,afternoon,24,Feb
35,  1pm 24 Feb 2014,Sun,afternoon,24,Feb
35,  2pm 24 Feb 2014,Sun,afternoon,24,Feb
35,  3pm 24 Feb 2014,Sun,afternoon,24,Feb
36,  4pm 24 Feb 2014,Sun,afternoon,24,Feb
39,  6pm 24 Feb 2014,Sun,afternoon,24,Feb
38,  7pm 24 Feb 2014,Sun,evening,24,Feb
36,  8pm 24 Feb 2014,Sun,evening,24,Feb
35,  10pm 24 Feb 2014,Sun,evening,24,Feb
36,  11pm 24 Feb 2014,Sun,evening,24,Feb
27,  7am 25 Feb 2014,Mon,morning,25,Feb
28,  8am 25 Feb 2014,Mon,morning,25,Feb
31,  9am 25 Feb 2014,Mon,morning,25,Feb
33,  10am 25 Feb 2014,Mon,morning,25,Feb
35,  11am 25 Feb 2014,Mon,morning,25,Feb
36,  12pm 25 Feb 2014,Mon,afternoon,25,Feb
36,  1pm 25 Feb 2014,Mon,afternoon,25,Feb
36,  2pm 25 Feb 2014,Mon,afternoon,25,Feb
36,  3pm 25 Feb 2014,Mon,afternoon,25,Feb
38,  4pm 25 Feb 2014,Mon,afternoon,25,Feb
40,  5pm 25 Feb 2014,Mon,afternoon,25,Feb
40,  6pm 25 Feb 2014,Mon,afternoon,25,Feb
43,  7pm 25 Feb 2014,Mon,evening,25,Feb
42,  8pm 25 Feb 2014,Mon,evening,25,Feb
41,  9pm 25 Feb 2014,Mon,evening,25,Feb
37,  10pm 25 Feb 2014,Mon,evening,25,Feb
37,  11pm 25 Feb 2014,Mon,evening,25,Feb
31,  5am 26 Feb 2014,Tues,night,26,Feb
30,  6am 26 Feb 2014,Tues,morning,26,Feb
29,  7am 26 Feb 2014,Tues,morning,26,Feb
28,  8am 26 Feb 2014,Tues,morning,26,Feb
28,  9am 26 Feb 2014,Tues,morning,26,Feb
29,  10am 26 Feb 2014,Tues,morning,26,Feb
32,  11am 26 Feb 2014,Tues,morning,26,Feb
36,  12pm 26 Feb 2014,Tues,afternoon,26,Feb
37,  1pm 26 Feb 2014,Tues,afternoon,26,Feb
35,  3pm 26 Feb 2014,Tues,afternoon,26,Feb
36,  4pm 26 Feb 2014,Tues,afternoon,26,Feb
38,  5pm 26 Feb 2014,Tues,afternoon,26,Feb
36,  7pm 26 Feb 2014,Tues,evening,26,Feb
33,  8pm 26 Feb 2014,Tues,evening,26,Feb
30,  9pm 26 Feb 2014,Tues,evening,26,Feb
30,  10pm 26 Feb 2014,Tues,evening,26,Feb
31,  11pm 26 Feb 2014,Tues,evening,26,Feb
30,  5am 27 Feb 2014,Wed,night,27,Feb
32,  7am 27 Feb 2014,Wed,morning,27,Feb
29,  8am 27 Feb 2014,Wed,morning,27,Feb
23,  10am 27 Feb 2014,Wed,morning,27,Feb
25,  11am 27 Feb 2014,Wed,morning,27,Feb
28,  12pm 27 Feb 2014,Wed,afternoon,27,Feb
29,  2pm 27 Feb 2014,Wed,afternoon,27,Feb
28,  3pm 27 Feb 2014,Wed,afternoon,27,Feb
33,  5pm 27 Feb 2014,Wed,afternoon,27,Feb
36,  6pm 27 Feb 2014,Wed,afternoon,27,Feb
37,  7pm 27 Feb 2014,Wed,evening,27,Feb
51,  11am 24 Apr 2014,Wed,morning,24,Apr
58,  4pm 24 Apr 2014,Wed,afternoon,24,Apr
62,  5pm 24 Apr 2014,Wed,afternoon,24,Apr
63,  6pm 24 Apr 2014,Wed,afternoon,24,Apr
64,  7pm 24 Apr 2014,Wed,evening,24,Apr
61,  8pm 24 Apr 2014,Wed,evening,24,Apr
60,  9pm 24 Apr 2014,Wed,evening,24,Apr
60,  10pm 24 Apr 2014,Wed,evening,24,Apr
61,  11pm 24 Apr 2014,Wed,evening,24,Apr
62,  12am 25 Apr 2014,Thurs,night,25,Apr
61,  2am 25 Apr 2014,Thurs,night,25,Apr
60,  3am 25 Apr 2014,Thurs,night,25,Apr
60,  4am 25 Apr 2014,Thurs,night,25,Apr
60,  5am 25 Apr 2014,Thurs,night,25,Apr
62,  6am 25 Apr 2014,Thurs,morning,25,Apr
63,  7am 25 Apr 2014,Thurs,morning,25,Apr
64,  8am 25 Apr 2014,Thurs,morning,25,Apr
67,  9am 25 Apr 2014,Thurs,morning,25,Apr
66,  10am 25 Apr 2014,Thurs,morning,25,Apr
64,  11am 25 Apr 2014,Thurs,morning,25,Apr
65,  1pm 25 Apr 2014,Thurs,afternoon,25,Apr
68,  2pm 25 Apr 2014,Thurs,afternoon,25,Apr
71,  3pm 25 Apr 2014,Thurs,afternoon,25,Apr
71,  4pm 25 Apr 2014,Thurs,afternoon,25,Apr
74,  6pm 25 Apr 2014,Thurs,afternoon,25,Apr
75,  7pm 25 Apr 2014,Thurs,evening,25,Apr
65,  9pm 25 Apr 2014,Thurs,evening,25,Apr
66,  11pm 25 Apr 2014,Thurs,evening,25,Apr
69,  12am 26 Apr 2014,Fri,night,26,Apr
71,  1am 26 Apr 2014,Fri,night,26,Apr
72,  2am 26 Apr 2014,Fri,night,26,Apr
73,  3am 26 Apr 2014,Fri,night,26,Apr
72,  4am 26 Apr 2014,Fri,night,26,Apr
71,  5am 26 Apr 2014,Fri,night,26,Apr
69,  7am 26 Apr 2014,Fri,morning,26,Apr
70,  8am 26 Apr 2014,Fri,morning,26,Apr
70,  9am 26 Apr 2014,Fri,morning,26,Apr
72,  10am 26 Apr 2014,Fri,morning,26,Apr
69,  11am 26 Apr 2014,Fri,morning,26,Apr
67,  12pm 26 Apr 2014,Fri,afternoon,26,Apr
64,  1pm 26 Apr 2014,Fri,afternoon,26,Apr
66,  2pm 26 Apr 2014,Fri,afternoon,26,Apr
70,  3pm 26 Apr 2014,Fri,afternoon,26,Apr
68,  4pm 26 Apr 2014,Fri,afternoon,26,Apr
68,  5pm 26 Apr 2014,Fri,afternoon,26,Apr
66,  6pm 26 Apr 2014,Fri,afternoon,26,Apr
70,  7pm 26 Apr 2014,Fri,evening,26,Apr
69,  8pm 26 Apr 2014,Fri,evening,26,Apr
63,  9pm 26 Apr 2014,Fri,evening,26,Apr
57,  10pm 26 Apr 2014,Fri,evening,26,Apr
54,  11pm 26 Apr 2014,Fri,evening,26,Apr
55,  12am 27 Apr 2014,Sat,night,27,Apr
56,  1am 27 Apr 2014,Sat,night,27,Apr
56,  2am 27 Apr 2014,Sat,night,27,Apr
54,  3am 27 Apr 2014,Sat,night,27,Apr
54,  4am 27 Apr 2014,Sat,night,27,Apr
55,  5am 27 Apr 2014,Sat,night,27,Apr
56,  6am 27 Apr 2014,Sat,morning,27,Apr
55,  7am 27 Apr 2014,Sat,morning,27,Apr
52,  8am 27 Apr 2014,Sat,morning,27,Apr
