PSI 3hr,Datetime,DayOfWeek,Period,DayOfMonth,Month
32,  6am 08 Jan 2014,Tues,morning,8,Jan
32,  7am 08 Jan 2014,Tues,morning,8,Jan
31,  8am 08 Jan 2014,Tues,morning,8,Jan
30,  9am 08 Jan 2014,Tues,morning,8,Jan
30,  10am 08 Jan 2014,Tues,morning,8,Jan
31,  11am 08 Jan 2014,Tues,morning,8,Jan
33,  1pm 08 Jan 2014,Tues,afternoon,8,Jan
29,  2pm 08 Jan 2014,Tues,afternoon,8,Jan
26,  3pm 08 Jan 2014,Tues,afternoon,8,Jan
25,  4pm 08 Jan 2014,Tues,afternoon,8,Jan
23,  5pm 08 Jan 2014,Tues,afternoon,8,Jan
22,  6pm 08 Jan 2014,Tues,afternoon,8,Jan
25,  7pm 08 Jan 2014,Tues,evening,8,Jan
27,  8pm 08 Jan 2014,Tues,evening,8,Jan
26,  9pm 08 Jan 2014,Tues,evening,8,Jan
23,  10pm 08 Jan 2014,Tues,evening,8,Jan
23,  11pm 08 Jan 2014,Tues,evening,8,Jan
19,  3am 09 Jan 2014,Wed,night,9,Jan
15,  6am 09 Jan 2014,Wed,morning,9,Jan
15,  7am 09 Jan 2014,Wed,morning,9,Jan
18,  8am 09 Jan 2014,Wed,morning,9,Jan
16,  9am 09 Jan 2014,Wed,morning,9,Jan
16,  10am 09 Jan 2014,Wed,morning,9,Jan
16,  11am 09 Jan 2014,Wed,morning,9,Jan
18,  12pm 09 Jan 2014,Wed,afternoon,9,Jan
20,  2pm 09 Jan 2014,Wed,afternoon,9,Jan
18,  3pm 09 Jan 2014,Wed,afternoon,9,Jan
14,  5pm 09 Jan 2014,Wed,afternoon,9,Jan
17,  6pm 09 Jan 2014,Wed,afternoon,9,Jan
22,  7pm 09 Jan 2014,Wed,evening,9,Jan
28,  9pm 09 Jan 2014,Wed,evening,9,Jan
28,  9pm 09 Jan 2014,Wed,evening,9,Jan
27,  10pm 09 Jan 2014,Wed,evening,9,Jan
24,  11pm 09 Jan 2014,Wed,evening,9,Jan
20,  6am 10 Jan 2014,Thurs,morning,10,Jan
18,  7am 10 Jan 2014,Thurs,morning,10,Jan
18,  8am 10 Jan 2014,Thurs,morning,10,Jan
19,  10am 10 Jan 2014,Thurs,morning,10,Jan
17,  12pm 10 Jan 2014,Thurs,afternoon,10,Jan
20,  1pm 10 Jan 2014,Thurs,afternoon,10,Jan
24,  2pm 10 Jan 2014,Thurs,afternoon,10,Jan
28,  3pm 10 Jan 2014,Thurs,afternoon,10,Jan
32,  4pm 10 Jan 2014,Thurs,afternoon,10,Jan
37,  5pm 10 Jan 2014,Thurs,afternoon,10,Jan
38,  6pm 10 Jan 2014,Thurs,afternoon,10,Jan
34,  7pm 10 Jan 2014,Thurs,evening,10,Jan
29,  8pm 10 Jan 2014,Thurs,evening,10,Jan
27,  9pm 10 Jan 2014,Thurs,evening,10,Jan
26,  11pm 10 Jan 2014,Thurs,evening,10,Jan
26,  11pm 10 Jan 2014,Thurs,evening,10,Jan
11,  6am 11 Jan 2014,Fri,morning,11,Jan
10,  7am 11 Jan 2014,Fri,morning,11,Jan
11,  8am 11 Jan 2014,Fri,morning,11,Jan
12,  9am 11 Jan 2014,Fri,morning,11,Jan
13,  10am 11 Jan 2014,Fri,morning,11,Jan
13,  11am 11 Jan 2014,Fri,morning,11,Jan
16,  12pm 11 Jan 2014,Fri,afternoon,11,Jan
19,  1pm 11 Jan 2014,Fri,afternoon,11,Jan
19,  2pm 11 Jan 2014,Fri,afternoon,11,Jan
18,  3pm 11 Jan 2014,Fri,afternoon,11,Jan
18,  4pm 11 Jan 2014,Fri,afternoon,11,Jan
22,  5pm 11 Jan 2014,Fri,afternoon,11,Jan
25,  6pm 11 Jan 2014,Fri,afternoon,11,Jan
24,  7pm 11 Jan 2014,Fri,evening,11,Jan
19,  8pm 11 Jan 2014,Fri,evening,11,Jan
14,  9pm 11 Jan 2014,Fri,evening,11,Jan
14,  10pm 11 Jan 2014,Fri,evening,11,Jan
17,  11pm 11 Jan 2014,Fri,evening,11,Jan
22,  6am 12 Jan 2014,Sat,morning,12,Jan
23,  7am 12 Jan 2014,Sat,morning,12,Jan
25,  8am 12 Jan 2014,Sat,morning,12,Jan
26,  9am 12 Jan 2014,Sat,morning,12,Jan
27,  11am 12 Jan 2014,Sat,morning,12,Jan
25,  12pm 12 Jan 2014,Sat,afternoon,12,Jan
23,  1pm 12 Jan 2014,Sat,afternoon,12,Jan
22,  2pm 12 Jan 2014,Sat,afternoon,12,Jan
15,  4pm 12 Jan 2014,Sat,afternoon,12,Jan
14,  5pm 12 Jan 2014,Sat,afternoon,12,Jan
16,  6pm 12 Jan 2014,Sat,afternoon,12,Jan
18,  7pm 12 Jan 2014,Sat,evening,12,Jan
20,  9pm 12 Jan 2014,Sat,evening,12,Jan
21,  10pm 12 Jan 2014,Sat,evening,12,Jan
22,  11pm 12 Jan 2014,Sat,evening,12,Jan
23,  6am 13 Jan 2014,Sun,morning,13,Jan
24,  7am 13 Jan 2014,Sun,morning,13,Jan
26,  8am 13 Jan 2014,Sun,morning,13,Jan
27,  9am 13 Jan 2014,Sun,morning,13,Jan
28,  11am 13 Jan 2014,Sun,morning,13,Jan
30,  1pm 13 Jan 2014,Sun,afternoon,13,Jan
29,  3pm 13 Jan 2014,Sun,afternoon,13,Jan
31,  4pm 13 Jan 2014,Sun,afternoon,13,Jan
33,  5pm 13 Jan 2014,Sun,afternoon,13,Jan
34,  6pm 13 Jan 2014,Sun,afternoon,13,Jan
30,  8pm 13 Jan 2014,Sun,evening,13,Jan
28,  9pm 13 Jan 2014,Sun,evening,13,Jan
30,  11pm 13 Jan 2014,Sun,evening,13,Jan
31,  6am 14 Jan 2014,Mon,morning,14,Jan
30,  7am 14 Jan 2014,Mon,morning,14,Jan
30,  8am 14 Jan 2014,Mon,morning,14,Jan
32,  9am 14 Jan 2014,Mon,morning,14,Jan
33,  10am 14 Jan 2014,Mon,morning,14,Jan
36,  11am 14 Jan 2014,Mon,morning,14,Jan
36,  12pm 14 Jan 2014,Mon,afternoon,14,Jan
35,  1pm 14 Jan 2014,Mon,afternoon,14,Jan
32,  2pm 14 Jan 2014,Mon,afternoon,14,Jan
30,  3pm 14 Jan 2014,Mon,afternoon,14,Jan
29,  4pm 14 Jan 2014,Mon,afternoon,14,Jan
29,  5pm 14 Jan 2014,Mon,afternoon,14,Jan
29,  6pm 14 Jan 2014,Mon,afternoon,14,Jan
33,  8pm 14 Jan 2014,Mon,evening,14,Jan
33,  9pm 14 Jan 2014,Mon,evening,14,Jan
33,  10pm 14 Jan 2014,Mon,evening,14,Jan
32,  11pm 14 Jan 2014,Mon,evening,14,Jan
31,  6am 15 Jan 2014,Tues,morning,15,Jan
33,  8am 15 Jan 2014,Tues,morning,15,Jan
37,  10am 15 Jan 2014,Tues,morning,15,Jan
41,  11am 15 Jan 2014,Tues,morning,15,Jan
41,  12pm 15 Jan 2014,Tues,afternoon,15,Jan
41,  1pm 15 Jan 2014,Tues,afternoon,15,Jan
37,  2pm 15 Jan 2014,Tues,afternoon,15,Jan
35,  3pm 15 Jan 2014,Tues,afternoon,15,Jan
36,  4pm 15 Jan 2014,Tues,afternoon,15,Jan
38,  6pm 15 Jan 2014,Tues,afternoon,15,Jan
39,  7pm 15 Jan 2014,Tues,evening,15,Jan
40,  9pm 15 Jan 2014,Tues,evening,15,Jan
38,  11pm 15 Jan 2014,Tues,evening,15,Jan
36,  3am 16 Jan 2014,Wed,night,16,Jan
39,  6am 16 Jan 2014,Wed,morning,16,Jan
37,  7am 16 Jan 2014,Wed,morning,16,Jan
37,  8am 16 Jan 2014,Wed,morning,16,Jan
36,  9am 16 Jan 2014,Wed,morning,16,Jan
37,  10am 16 Jan 2014,Wed,morning,16,Jan
38,  11am 16 Jan 2014,Wed,morning,16,Jan
40,  1pm 16 Jan 2014,Wed,afternoon,16,Jan
40,  2pm 16 Jan 2014,Wed,afternoon,16,Jan
40,  3pm 16 Jan 2014,Wed,afternoon,16,Jan
40,  4pm 16 Jan 2014,Wed,afternoon,16,Jan
40,  6pm 16 Jan 2014,Wed,afternoon,16,Jan
38,  7pm 16 Jan 2014,Wed,evening,16,Jan
37,  8pm 16 Jan 2014,Wed,evening,16,Jan
34,  9pm 16 Jan 2014,Wed,evening,16,Jan
34,  10pm 16 Jan 2014,Wed,evening,16,Jan
33,  11pm 16 Jan 2014,Wed,evening,16,Jan
32,  6am 17 Jan 2014,Thurs,morning,17,Jan
33,  8am 17 Jan 2014,Thurs,morning,17,Jan
33,  9am 17 Jan 2014,Thurs,morning,17,Jan
33,  10am 17 Jan 2014,Thurs,morning,17,Jan
32,  11am 17 Jan 2014,Thurs,morning,17,Jan
31,  12pm 17 Jan 2014,Thurs,afternoon,17,Jan
32,  1pm 17 Jan 2014,Thurs,afternoon,17,Jan
32,  3pm 17 Jan 2014,Thurs,afternoon,17,Jan
30,  4pm 17 Jan 2014,Thurs,afternoon,17,Jan
30,  5pm 17 Jan 2014,Thurs,afternoon,17,Jan
29,  6pm 17 Jan 2014,Thurs,afternoon,17,Jan
30,  7pm 17 Jan 2014,Thurs,evening,17,Jan
32,  8pm 17 Jan 2014,Thurs,evening,17,Jan
31,  10pm 17 Jan 2014,Thurs,evening,17,Jan
31,  10pm 17 Jan 2014,Thurs,evening,17,Jan
29,  11pm 17 Jan 2014,Thurs,evening,17,Jan
22,  5am 18 Jan 2014,Fri,night,18,Jan
24,  7am 18 Jan 2014,Fri,morning,18,Jan
24,  8am 18 Jan 2014,Fri,morning,18,Jan
26,  9am 18 Jan 2014,Fri,morning,18,Jan
29,  10am 18 Jan 2014,Fri,morning,18,Jan
31,  11am 18 Jan 2014,Fri,morning,18,Jan
31,  12pm 18 Jan 2014,Fri,afternoon,18,Jan
31,  1pm 18 Jan 2014,Fri,afternoon,18,Jan
30,  3pm 18 Jan 2014,Fri,afternoon,18,Jan
31,  4pm 18 Jan 2014,Fri,afternoon,18,Jan
32,  6pm 18 Jan 2014,Fri,afternoon,18,Jan
30,  8pm 18 Jan 2014,Fri,evening,18,Jan
29,  9pm 18 Jan 2014,Fri,evening,18,Jan
29,  10pm 18 Jan 2014,Fri,evening,18,Jan
30,  11pm 18 Jan 2014,Fri,evening,18,Jan
26,  6am 19 Jan 2014,Sat,morning,19,Jan
26,  8am 19 Jan 2014,Sat,morning,19,Jan
26,  9am 19 Jan 2014,Sat,morning,19,Jan
30,  11am 19 Jan 2014,Sat,morning,19,Jan
31,  12pm 19 Jan 2014,Sat,afternoon,19,Jan
30,  2pm 19 Jan 2014,Sat,afternoon,19,Jan
33,  4pm 19 Jan 2014,Sat,afternoon,19,Jan
32,  5pm 19 Jan 2014,Sat,afternoon,19,Jan
31,  6pm 19 Jan 2014,Sat,afternoon,19,Jan
30,  7pm 19 Jan 2014,Sat,evening,19,Jan
30,  9pm 19 Jan 2014,Sat,evening,19,Jan
28,  11pm 19 Jan 2014,Sat,evening,19,Jan
29,  7am 20 Jan 2014,Sun,morning,20,Jan
29,  8am 20 Jan 2014,Sun,morning,20,Jan
31,  10am 20 Jan 2014,Sun,morning,20,Jan
32,  11am 20 Jan 2014,Sun,morning,20,Jan
32,  12pm 20 Jan 2014,Sun,afternoon,20,Jan
30,  2pm 20 Jan 2014,Sun,afternoon,20,Jan
30,  3pm 20 Jan 2014,Sun,afternoon,20,Jan
30,  4pm 20 Jan 2014,Sun,afternoon,20,Jan
30,  5pm 20 Jan 2014,Sun,afternoon,20,Jan
30,  6pm 20 Jan 2014,Sun,afternoon,20,Jan
32,  8pm 20 Jan 2014,Sun,evening,20,Jan
32,  9pm 20 Jan 2014,Sun,evening,20,Jan
30,  10pm 20 Jan 2014,Sun,evening,20,Jan
30,  11pm 20 Jan 2014,Sun,evening,20,Jan
28,  6am 21 Jan 2014,Mon,morning,21,Jan
23,  7am 21 Jan 2014,Mon,morning,21,Jan
24,  8am 21 Jan 2014,Mon,morning,21,Jan
30,  10am 21 Jan 2014,Mon,morning,21,Jan
34,  11am 21 Jan 2014,Mon,morning,21,Jan
37,  12pm 21 Jan 2014,Mon,afternoon,21,Jan
39,  2pm 21 Jan 2014,Mon,afternoon,21,Jan
39,  3pm 21 Jan 2014,Mon,afternoon,21,Jan
39,  5pm 21 Jan 2014,Mon,afternoon,21,Jan
40,  6pm 21 Jan 2014,Mon,afternoon,21,Jan
39,  7pm 21 Jan 2014,Mon,evening,21,Jan
39,  8pm 21 Jan 2014,Mon,evening,21,Jan
38,  9pm 21 Jan 2014,Mon,evening,21,Jan
38,  11pm 21 Jan 2014,Mon,evening,21,Jan
32,  6am 22 Jan 2014,Tues,morning,22,Jan
31,  7am 22 Jan 2014,Tues,morning,22,Jan
32,  8am 22 Jan 2014,Tues,morning,22,Jan
32,  9am 22 Jan 2014,Tues,morning,22,Jan
32,  10am 22 Jan 2014,Tues,morning,22,Jan
31,  11am 22 Jan 2014,Tues,morning,22,Jan
31,  12pm 22 Jan 2014,Tues,afternoon,22,Jan
32,  1pm 22 Jan 2014,Tues,afternoon,22,Jan
32,  3pm 22 Jan 2014,Tues,afternoon,22,Jan
31,  4pm 22 Jan 2014,Tues,afternoon,22,Jan
31,  5pm 22 Jan 2014,Tues,afternoon,22,Jan
31,  6pm 22 Jan 2014,Tues,afternoon,22,Jan
30,  7pm 22 Jan 2014,Tues,evening,22,Jan
30,  8pm 22 Jan 2014,Tues,evening,22,Jan
30,  9pm 22 Jan 2014,Tues,evening,22,Jan
31,  10pm 22 Jan 2014,Tues,evening,22,Jan
30,  11pm 22 Jan 2014,Tues,evening,22,Jan
45,  6am 23 Jan 2014,Wed,morning,23,Jan
43,  7am 23 Jan 2014,Wed,morning,23,Jan
43,  8am 23 Jan 2014,Wed,morning,23,Jan
43,  9am 23 Jan 2014,Wed,morning,23,Jan
51,  11am 23 Jan 2014,Wed,morning,23,Jan
52,  12pm 23 Jan 2014,Wed,afternoon,23,Jan
50,  1pm 23 Jan 2014,Wed,afternoon,23,Jan
48,  2pm 23 Jan 2014,Wed,afternoon,23,Jan
47,  3pm 23 Jan 2014,Wed,afternoon,23,Jan
47,  4pm 23 Jan 2014,Wed,afternoon,23,Jan
48,  5pm 23 Jan 2014,Wed,afternoon,23,Jan
50,  6pm 23 Jan 2014,Wed,afternoon,23,Jan
49,  7pm 23 Jan 2014,Wed,evening,23,Jan
47,  8pm 23 Jan 2014,Wed,evening,23,Jan
44,  9pm 23 Jan 2014,Wed,evening,23,Jan
41,  10pm 23 Jan 2014,Wed,evening,23,Jan
40,  11pm 23 Jan 2014,Wed,evening,23,Jan
43,  7am 24 Jan 2014,Thurs,morning,24,Jan
46,  9am 24 Jan 2014,Thurs,morning,24,Jan
48,  10am 24 Jan 2014,Thurs,morning,24,Jan
49,  11am 24 Jan 2014,Thurs,morning,24,Jan
50,  12pm 24 Jan 2014,Thurs,afternoon,24,Jan
49,  1pm 24 Jan 2014,Thurs,afternoon,24,Jan
48,  2pm 24 Jan 2014,Thurs,afternoon,24,Jan
48,  3pm 24 Jan 2014,Thurs,afternoon,24,Jan
49,  5pm 24 Jan 2014,Thurs,afternoon,24,Jan
47,  6pm 24 Jan 2014,Thurs,afternoon,24,Jan
45,  7pm 24 Jan 2014,Thurs,evening,24,Jan
46,  8pm 24 Jan 2014,Thurs,evening,24,Jan
48,  9pm 24 Jan 2014,Thurs,evening,24,Jan
49,  10pm 24 Jan 2014,Thurs,evening,24,Jan
49,  11pm 24 Jan 2014,Thurs,evening,24,Jan
48,  12am 25 Jan 2014,Fri,night,25,Jan
38,  6am 25 Jan 2014,Fri,morning,25,Jan
35,  8am 25 Jan 2014,Fri,morning,25,Jan
36,  9am 25 Jan 2014,Fri,morning,25,Jan
39,  10am 25 Jan 2014,Fri,morning,25,Jan
40,  11am 25 Jan 2014,Fri,morning,25,Jan
39,  12pm 25 Jan 2014,Fri,afternoon,25,Jan
41,  2pm 25 Jan 2014,Fri,afternoon,25,Jan
44,  3pm 25 Jan 2014,Fri,afternoon,25,Jan
46,  4pm 25 Jan 2014,Fri,afternoon,25,Jan
48,  5pm 25 Jan 2014,Fri,afternoon,25,Jan
49,  6pm 25 Jan 2014,Fri,afternoon,25,Jan
48,  7pm 25 Jan 2014,Fri,evening,25,Jan
49,  8pm 25 Jan 2014,Fri,evening,25,Jan
46,  9pm 25 Jan 2014,Fri,evening,25,Jan
44,  10pm 25 Jan 2014,Fri,evening,25,Jan
41,  11pm 25 Jan 2014,Fri,evening,25,Jan
38,  6am 26 Jan 2014,Sat,morning,26,Jan
36,  8am 26 Jan 2014,Sat,morning,26,Jan
35,  9am 26 Jan 2014,Sat,morning,26,Jan
36,  11am 26 Jan 2014,Sat,morning,26,Jan
35,  12pm 26 Jan 2014,Sat,afternoon,26,Jan
36,  1pm 26 Jan 2014,Sat,afternoon,26,Jan
41,  3pm 26 Jan 2014,Sat,afternoon,26,Jan
45,  5pm 26 Jan 2014,Sat,afternoon,26,Jan
44,  7pm 26 Jan 2014,Sat,evening,26,Jan
43,  8pm 26 Jan 2014,Sat,evening,26,Jan
40,  9pm 26 Jan 2014,Sat,evening,26,Jan
36,  11pm 26 Jan 2014,Sat,evening,26,Jan
36,  11pm 26 Jan 2014,Sat,evening,26,Jan
28,  6am 27 Jan 2014,Sun,morning,27,Jan
28,  8am 27 Jan 2014,Sun,morning,27,Jan
28,  9am 27 Jan 2014,Sun,morning,27,Jan
30,  10am 27 Jan 2014,Sun,morning,27,Jan
31,  12pm 27 Jan 2014,Sun,afternoon,27,Jan
32,  1pm 27 Jan 2014,Sun,afternoon,27,Jan
32,  2pm 27 Jan 2014,Sun,afternoon,27,Jan
32,  3pm 27 Jan 2014,Sun,afternoon,27,Jan
32,  4pm 27 Jan 2014,Sun,afternoon,27,Jan
32,  5pm 27 Jan 2014,Sun,afternoon,27,Jan
32,  6pm 27 Jan 2014,Sun,afternoon,27,Jan
32,  7pm 27 Jan 2014,Sun,evening,27,Jan
32,  8pm 27 Jan 2014,Sun,evening,27,Jan
32,  9pm 27 Jan 2014,Sun,evening,27,Jan
31,  11pm 27 Jan 2014,Sun,evening,27,Jan
28,  6am 28 Jan 2014,Mon,morning,28,Jan
30,  8am 28 Jan 2014,Mon,morning,28,Jan
29,  9am 28 Jan 2014,Mon,morning,28,Jan
30,  10am 28 Jan 2014,Mon,morning,28,Jan
33,  12pm 28 Jan 2014,Mon,afternoon,28,Jan
34,  2pm 28 Jan 2014,Mon,afternoon,28,Jan
35,  3pm 28 Jan 2014,Mon,afternoon,28,Jan
35,  4pm 28 Jan 2014,Mon,afternoon,28,Jan
